system,kind,partition,n_trials,eer,threshold,accuracy,precision_bonafide,recall_bonafide,f1_bonafide,roc_auc,tp_bonafide_accepted,fn_bonafide_rejected,tn_spoof_rejected,fp_spoof_accepted,min_tdcf
timepool_T150_aug,post-hoc (not pre-registered),progress,87048,0.2935916688054437,-1.5184952020645142,0.7064148515761419,0.32423089121471615,0.7063985627418463,0.4444589365679753,0.7856945317321389,10223,4249,51269,21307,0.7859760320871388
timepool_T150_aug,post-hoc (not pre-registered),eval,721332,0.31080620723669683,-0.9237192869186401,0.6891944347401752,0.24955348206999553,0.6891929242675512,0.3664258907578224,0.7644647365438204,64831,29237,432307,194957,0.8090022974057779
timepool_T150_aug,post-hoc (not pre-registered),hidden,134730,0.2601344486415658,0.3469019830226898,0.7398723372671269,0.30609491137793027,0.7398562741846324,0.43303405322332766,0.819848145816414,13384,4706,86299,30341,0.7193565829537325
flatten_T150_aug,post-hoc (not pre-registered),progress,87048,0.30983331523598934,-0.8711321949958801,0.6901709401709402,0.30756913222886,0.6901603095632947,0.42551016061006264,0.7650029842527821,9988,4484,50090,22486,0.8200324442315197
flatten_T150_aug,post-hoc (not pre-registered),hidden,134730,0.29022524977990705,0.5551093816757202,0.7097676835151785,0.27498768552031355,0.7097844112769486,0.3964002901995894,0.7851563188382884,12840,5250,82787,33853,0.7753319156030393
