candidate,n_systems,weights,cv_eer,cv_eer_se,cv_tdcf,n_folds_used,n_folds_skipped
ours,1,trained,29.37540507332174,0.6933609409125735,0.779665413123092,5,0
ours+2GMM,3,trained,26.841234254428702,0.4504430190960893,0.7269079020262816,5,0
ours+2GMM,3,equal,28.405941280941278,0.6349674761630735,0.758228620093289,5,0
ours+4base,5,trained,26.64056815098482,0.4766383113750766,0.7229043614142082,5,0
ours+4base,5,equal,30.582907575963127,0.6065016183115984,0.8135340572259506,5,0
ours+all,6,trained,26.36777021846466,0.6357273689817786,0.7206061957820287,5,0
ours+all,6,equal,28.587482219426665,0.7072250910887742,0.774124704109135,5,0
