system,progress_eer,coef,rho_timepool_T150_aug,rho_CQCC-GMM,rho_LFCC-GMM
timepool_T150_aug,29.359166880544368,1.0741919844273162,1.0,0.2842493901645469,0.10101050327974886
CQCC-GMM,36.3305208415594,0.4028231809355087,0.2842493901645469,1.0,0.35831193392370225
LFCC-GMM,39.78790529824423,0.31965858451706264,0.10101050327974886,0.35831193392370225,1.0
