scheme,system,eer,eer_lo,eer_hi,eer_ci_width,min_tdcf,tdcf_lo,tdcf_hi,tdcf_ci_width
speaker-clustered,flatten_T400,39.74676016491089,38.239612780738824,41.254264375916414,3.0146515951775896,0.9876193868141082,0.9719199571656316,0.9946825214687094,0.02276256430307777
speaker-clustered,T400,38.03101761286689,36.43546152058279,39.578867659045606,3.143406138462815,0.9588514834266596,0.9382284188821761,0.973649823549419,0.03542140466724286
speaker-clustered,cmvn_T400,43.467577170158016,40.92335363186364,46.155287483863006,5.231933851999365,0.9968961670491503,0.9923213253198357,0.9987419640908145,0.006420638770978759
speaker-clustered,flatten_T400_aug1,34.006173556998974,31.742381115066692,36.440415536121314,4.698034421054622,0.8514014556910107,0.8098177585696041,0.8912052552180757,0.08138749664847156
speaker-clustered,flatten_T400_aug,32.66469172379959,30.214724281499773,35.14711604207307,4.932391760573299,0.8347407729336723,0.7918367882976735,0.8762205327543033,0.08438374445662988
speaker-clustered,baseline_T250,35.81556100000808,33.90874259424795,37.85255086235094,3.943808268102991,0.9059415547450026,0.872727208652787,0.9369252534908667,0.06419804483807978
speaker-clustered,T150,34.419949002222296,32.87608566499092,35.975549835325886,3.0994641703349686,0.9019231423534513,0.8719098450366533,0.9284713515942082,0.056561506557554986
speaker-clustered,MFCC-SVM,49.6342959319271,46.709832607757754,52.712084820867965,6.002252213110211,0.9999888930483163,0.9999303893790076,0.9999986116310395,6.822225203195753e-05
speaker-clustered,MFCC-RF,45.83281022250945,43.68818449911564,48.080571143452765,4.3923866443371224,0.9999748191104079,0.9998361863528704,0.9999972232620791,0.0001610369092086561
speaker-clustered,CQCC-GMM,38.068273609671735,34.60641240449585,41.82323754335853,7.216825138862681,0.9433756104704769,0.8796069798259671,0.9953898333863924,0.11578285356042528
speaker-clustered,LFCC-GMM,39.53972624398902,36.22221013329215,42.57730751578982,6.355097382497668,0.9723946891144775,0.9239039801933037,0.9958125637803242,0.07190858358702057
speaker-clustered,LFCC-LCNN,44.76760439242065,42.12030966123607,47.39895171812291,5.278642056886838,0.995841041087189,0.9860501326195724,0.9994786712784709,0.013428538658898481
speaker-clustered,RawNet2,48.60422857970631,46.524410933650245,50.66133389958157,4.136922965931326,0.9997339065620674,0.9960052779389861,0.9999958348931186,0.003990556954132529
trial-level,flatten_T400,39.74676016491089,39.584978920006556,39.918960226672375,0.3339813066658195,0.9876193868141082,0.9850504065449635,0.989356364103472,0.0043059575585086
trial-level,T400,38.03101761286689,37.852443904216294,38.20028526598659,0.3478413617702927,0.9588514834266596,0.9560653715426869,0.9609337150044757,0.004868343461788771
trial-level,cmvn_T400,43.467577170158016,43.28765156641931,43.64187255342276,0.35422098700345117,0.9968961670491503,0.9959697425247032,0.9974015545287291,0.0014318120040259785
trial-level,flatten_T400_aug1,34.006173556998974,33.85915388455069,34.16150941488564,0.30235553033494966,0.8514014556910107,0.8477566633306518,0.8540878344563521,0.006331171125700252
trial-level,flatten_T400_aug,32.66469172379959,32.515576068638175,32.81466506427462,0.29908899563644553,0.8347407729336723,0.8312824654046896,0.8380398537510078,0.006757388346318116
trial-level,baseline_T250,35.81556100000808,35.64844114191659,35.977182822404515,0.32874168048792285,0.9059415547450026,0.9021859645780534,0.9090520981243722,0.006866133546318709
trial-level,T150,34.419949002222296,34.254926458415405,34.581592084003674,0.3266656255882694,0.9019231423534513,0.8981434770986485,0.9050850915999301,0.006941614501281612
trial-level,MFCC-SVM,49.6342959319271,49.45041284059969,49.803922404661606,0.35350956406191614,0.9999888930483163,0.9999595294427834,0.9999944465241581,3.491708137470795e-05
trial-level,MFCC-RF,45.83281022250945,45.66051682948555,46.000928086549344,0.34041125706379205,0.9999748191104079,0.9999361350278191,0.9999902814172767,5.414638945766548e-05
trial-level,CQCC-GMM,38.068273609671735,37.90765162127456,38.2244751239974,0.31682350272284054,0.9433756104704769,0.9398922728153097,0.9459262806976636,0.0060340078823538645
trial-level,LFCC-GMM,39.53972624398902,39.37148765537892,39.71168318642595,0.34019553104702993,0.9723946891144775,0.9695843233381748,0.9746253240320726,0.00504100069389779
trial-level,LFCC-LCNN,44.76760439242065,44.58449395801873,44.940994933981,0.3565009759622697,0.995841041087189,0.9946119976951765,0.9966501850357007,0.002038187340524189
trial-level,RawNet2,48.60422857970631,48.45746332206079,48.75262484080079,0.2951615187400023,0.9997339065620674,0.9994723732246279,0.9999112105297804,0.0004388373051524841
