system,dev_eer_all,n_all,dev_eer_le150f,n_le150f,dev_eer_le200f,n_le200f,dev_eer_le250f,n_le250f
MFCC-SVM,0.0921557940965064,65097,0.17020467149408147,1999,0.15119786154044845,11878,0.13139319801614874,27813
flatten_T400,0.00797859676085311,65097,0.017089150572446945,1999,0.011480090833887784,11878,0.009744823921043078,27813
T400,0.009021263695323554,65097,0.018917304137346394,1999,0.012680089177159565,11878,0.010415115487299731,27813
cmvn_T400,0.01292602710460106,65097,0.025062215095714224,1999,0.018254555908363338,11878,0.0166807036144006,27813
flatten_T400_aug1,0.014855737639557942,65097,0.026280984138980522,1999,0.022194603810399505,11878,0.017350476953690436,27813
flatten_T400_aug,0.023532711742706783,65097,0.045502980537143495,1999,0.03673700607379144,11878,0.03143830897330441,27813
baseline_T250,0.027801361060051617,65097,0.0293789724891826,1999,0.022039709138776207,11878,0.018646912751083745,27813
T150,0.06583572269219527,65097,0.07871613915755145,1999,0.07746569160682676,11878,0.07506290715131927,27813
