epoch,train_loss,train_eer,dev_eer,dev_threshold,lr,seconds
1,0.6314629253668107,0.09621288515406164,0.11977828705631362,1.6952356100082397,0.001,880.5201089382172
2,0.5143411293051251,0.043053221288515436,0.060430073311284666,1.775285243988037,0.001,877.8359544277191
3,0.47090991390357456,0.04512791783380017,0.06675831047409919,1.9384242296218872,0.001,875.5881202220917
4,0.44427881413842385,0.033680672268907544,0.047140160298616285,0.689456582069397,0.001,875.8525052070618
5,0.42491401281924673,0.04403174603174605,0.05971209965309633,2.2110373973846436,0.001,877.1944460868835
6,0.4066782853941824,0.027542483660130734,0.037904484321630835,-1.1996105909347534,0.001,876.175299167633
7,0.39395014845477144,0.025553688141923464,0.03247923862482757,-1.1838898658752441,0.001,875.7169442176819
8,0.3857094551358344,0.02029878618113913,0.0369720983817806,0.8132806420326233,0.001,875.4669952392578
9,0.3733985201716857,0.02079738562091501,0.035909835131417545,2.8089208602905273,0.001,876.6027071475983
10,0.36561915798809974,0.01856395891690011,0.03440894915978445,0.788107693195343,0.001,874.7465648651123
11,0.35947917079266395,0.0195107376283847,0.03609485293924052,2.7647242546081543,0.0005,875.049558877945
12,0.3295849979861557,0.015053221288515418,0.02842500158914463,1.2788417339324951,0.0005,875.1033592224121
13,0.3247345075242983,0.01438281979458449,0.026719501493795948,-0.25838208198547363,0.0005,875.0219452381134
14,0.31825156988106496,0.016425770308123255,0.031342238561261795,0.9754778742790222,0.0005,875.1785786151886
15,0.31287098783903466,0.014595704948646142,0.030055764871290545,1.4112263917922974,0.0005,875.5320513248444
16,0.31092764494927766,0.015723622782446295,0.02807091383902361,0.4738095998764038,0.0005,875.5832149982452
17,0.3069251546214096,0.013712418300653617,0.027716826088902594,1.8504648208618164,0.00025,875.9765009880066
18,0.29175995854357994,0.011447245564892631,0.026160799619959343,1.6471242904663086,0.00025,875.773421049118
19,0.29006264572736135,0.011352007469654537,0.025725825349057038,1.2974069118499756,0.00025,875.4664971828461
20,0.28530313048603895,0.011755368814192323,0.026505089212134056,1.723637580871582,0.00025,875.9380717277527
21,0.28446590682717293,0.0114154995331466,0.02688857143609399,1.00301194190979,0.00025,876.2066044807434
22,0.28163983938397713,0.012276377217553664,0.027622492959807267,2.1424779891967773,0.00025,874.227600812912
23,0.27796796341343666,0.010138188608776862,0.02451044002192082,0.4522254467010498,0.00025,874.3806552886963
24,0.28106754430847175,0.010957983193277322,0.025722176898689303,1.387968897819519,0.00025,874.4215559959412
25,0.27345133538362315,0.0122128851540616,0.026264930907000973,1.182198405265808,0.00025,874.6303462982178
26,0.2749042199347297,0.010287581699346394,0.025303150493311874,2.0231800079345703,0.00025,874.5343520641327
27,0.27364466780618446,0.010319327731092426,0.024530036337813428,1.9473748207092285,0.000125,874.2599499225616
28,0.264033901356784,0.009340802987861805,0.0241563522717998,1.3845829963684082,0.000125,874.489928483963
29,0.2637340261940714,0.009861811391223147,0.023532711742706783,2.1663079261779785,0.000125,874.5831050872803
30,0.260046062568557,0.009404295051353869,0.024065667593072153,0.9245524406433105,0.000125,874.166718006134
