epoch,train_loss,train_eer,dev_eer,dev_threshold,lr,seconds
1,0.6953451216584035,0.1132231559290383,0.12731826109589667,1.2175439596176147,0.001,381.99416494369507
2,0.5921141809471177,0.1178300653594771,0.13088853307094578,1.5225772857666016,0.001,378.631710767746
3,0.5645723593461596,0.1054360410830999,0.12290993631009267,0.15502122044563293,0.001,392.60315227508545
4,0.5368220036698281,0.09511671335200747,0.11130592707688036,-0.8337293863296509,0.001,389.53897190093994
5,0.523492913979125,0.09813818860877685,0.1098895760763963,-0.5540952086448669,0.001,389.51759004592896
6,0.5125427130906527,0.08375536881419235,0.10436384754291912,1.7862129211425781,0.001,387.80768370628357
7,0.4985010175623214,0.08809523809523809,0.10748569863875188,1.0583348274230957,0.001,391.07969903945923
8,0.4898750812232646,0.07969187675070029,0.10364587388473079,2.9991390705108643,0.001,391.73361325263977
9,0.478779820892682,0.07691503267973859,0.09624557531360689,-0.32092589139938354,0.001,388.4420039653778
10,0.4726483009243367,0.07386181139122318,0.10374635672140467,0.863350510597229,0.001,385.96892857551575
11,0.46834055425937327,0.06989355742296921,0.09413084697082708,0.7210739850997925,0.001,387.4753038883209
12,0.4627369884855533,0.0693090569561158,0.09461481203146091,0.2992185056209564,0.001,383.98218631744385
13,0.4566124132429526,0.06852100840336137,0.08986219765348219,1.5333236455917358,0.001,381.4033052921295
14,0.45087109093217903,0.07065919701213817,0.09496889978158193,0.9589399099349976,0.001,382.73748755455017
15,0.4455053168425195,0.07261624649859941,0.10004005772826419,2.120043992996216,0.001,380.98715019226074
16,0.4421145254674934,0.072031746031746,0.09769132078792989,1.2936676740646362,0.001,379.17159485816956
17,0.4353844649214318,0.06424463118580766,0.08928389946375304,2.5809314250946045,0.001,382.4155259132385
18,0.4343962029460106,0.06684033613445378,0.09540752250285198,2.360430955886841,0.001,381.7312195301056
19,0.4295583212739362,0.0635424836601307,0.08919936449260402,1.1407297849655151,0.001,377.52218890190125
20,0.42623655728944304,0.0635424836601307,0.0847358992094899,0.13414828479290009,0.001,383.157776594162
21,0.4259296512050319,0.06519140989729225,0.08907928534003745,1.106868028640747,0.001,385.26554775238037
22,0.4166997902247094,0.05910737628384688,0.08551881152293464,2.0817575454711914,0.001,386.1295039653778
23,0.42005566491045143,0.05908496732026142,0.08814689940018727,1.7264703512191772,0.001,387.141295671463
24,0.4160095270304365,0.09013818860877684,0.10641363723044252,-3.4929327964782715,0.0005,380.5135612487793
25,0.3945701018927118,0.05957422969187673,0.08622698702317669,2.225390911102295,0.0005,382.48339009284973
26,0.3888141173312407,0.05737254901960786,0.0885107853082546,2.1943535804748535,0.0005,379.21846175193787
27,0.3846398800538318,0.05521195144724554,0.08385865376694976,0.7330137491226196,0.0005,386.96327114105225
28,0.3818503310365237,0.05410644257703079,0.0762733373880029,1.2226568460464478,0.0005,385.39888405799866
29,0.3845372723409396,0.05178711484593837,0.07546103060071924,0.7663594484329224,0.0005,383.74139523506165
30,0.38095014927066556,0.053073762838468735,0.08150991682661551,0.9043448567390442,0.0005,371.68303632736206
