n_train,is_full,eer,threshold,accuracy,precision_bonafide,recall_bonafide,f1_bonafide,roc_auc,tp_bonafide_accepted,fn_bonafide_rejected,tn_spoof_rejected,fp_spoof_accepted
10000,False,0.129287578004433,0.4266666666666667,0.8713304760588045,0.6515579227696405,0.8696239425606028,0.744960721027952,0.9466090850927702,12233,1834,44488,6542
20000,False,0.1262343140142244,0.4266666666666667,0.8743413674977342,0.6576846842020678,0.872751830525343,0.7501069224659376,0.9485120263943304,12277,1790,44640,6390
50000,False,0.1215458108079136,0.42,0.8777363012120374,0.6638236240746701,0.8797184900831734,0.7566724754654682,0.9518017925774191,12375,1692,44763,6267
80000,False,0.1205689100122881,0.4233333333333333,0.8799944697912346,0.6694295465626524,0.8784388995521433,0.7598229109020476,0.952995951696746,12357,1710,44928,6102
100000,False,0.1185633154709716,0.4233333333333333,0.8821297448423122,0.6740337506804572,0.8802161086230185,0.7634491475783827,0.9538784148830252,12382,1685,45042,5988
175959,True,0.1173598158171983,0.4233333333333333,0.8828056592469699,0.6750788643533123,0.8823487595080686,0.764921578898715,0.9548391839278836,12412,1655,45056,5974
150000,False,0.11751564602207953,0.42333333333333334,0.8830053612301643,0.6757669881750313,0.8815667875168834,0.7650687889444135,0.9549288217144956,12401,1666,45080,5950
