C,gamma,eer,threshold,fit_seconds,score_seconds,n_support,n_train
0.1,scale,0.1116342688035302,0.2281700119898231,200.52092218399048,130.74568819999695,18548,50000
0.1,0.001,0.1362843842939101,0.2971895659863692,258.51593542099,151.0914490222931,22800,50000
0.1,0.01,0.1119687602377586,0.2019156106538844,219.36228156089783,121.34694409370422,18802,50000
0.1,0.1,0.2299766085434671,-0.7620975090530471,794.3589556217194,321.74684405326843,48412,50000
1.0,scale,0.0989581981620085,0.0485870774688795,128.80133032798767,79.50582695007324,13478,50000
1.0,0.001,0.1165167604920217,0.2573484769055278,185.7733619213104,99.60140085220335,16847,50000
1.0,0.01,0.0996210313228867,-0.0027800384204532,150.2013590335846,80.8871443271637,13744,50000
1.0,0.1,0.1910943959426223,-0.6296134114698116,1984.682858228684,311.5824329853058,46648,50000
10.0,scale,0.1078299882309266,-0.3529151667911052,199.3959364891052,66.57274007797241,10301,50000
10.0,0.001,0.1034412597610151,0.1815571494563741,137.88538479804993,76.7787036895752,13068,50000
10.0,0.01,0.1090417251076951,-0.3888120396644006,232.68011379241943,61.6190459728241,10677,50000
10.0,0.1,0.1880828258414097,-0.6333350251797311,2015.0890164375303,306.91324520111084,46600,50000
100.0,scale,0.1258271732822098,-0.6008460012771426,223.49986457824707,48.506510496139526,8730,50000
100.0,0.001,0.1033665229478124,-0.0150961386859655,131.23161816596985,62.01079320907593,10126,50000
100.0,0.01,0.1259570505927227,-0.5852012297727611,234.27818393707275,52.6087052822113,9266,50000
100.0,0.1,0.1879725448467895,-0.6333416852258894,1697.89511179924,360.0958445072174,46597,50000
0.1,0.001,0.1606551488473717,0.3434204682634543,5.967886209487915,31.692614316940308,5908,10000
1.0,0.001,0.130105620757501,0.2781970092708912,3.1520581245422363,22.030868768692017,4170,10000
10.0,0.001,0.1181830679555852,0.1996291162316055,2.5260720252990723,16.75897192955017,3169,10000
100.0,0.001,0.1148014622387267,-0.0181352421785376,2.8149733543396,13.146584033966064,2484,10000
0.1,0.01,0.1353813928278988,0.1794532700463481,4.9181413650512695,29.95754837989807,4984,10000
1.0,0.01,0.114103084896431,0.0294304968087401,3.630862236022949,31.793558597564697,3697,10000
10.0,0.01,0.1180629888030186,-0.3268699402369652,5.84309458732605,19.949833631515503,3035,10000
100.0,0.01,0.1256029628426017,-0.3833795502450886,3.129396677017212,18.960131883621216,2900,10000
0.1,scale,0.1337310332298603,0.2208959334722289,5.370848178863525,32.690678119659424,4892,10000
1.0,scale,0.1139536112700256,0.079199846619735,4.841467142105103,22.9706711769104,3570,10000
10.0,scale,0.1168708482421427,-0.3054309535558883,5.034795522689819,18.67833352088928,2850,10000
100.0,scale,0.1271687874694912,-0.3902322140602796,2.5522220134735107,15.461067914962769,2706,10000
0.1,0.1,0.2349142407292688,-0.5980733096128976,8.40865182876587,66.14285778999329,10000,10000
1.0,0.1,0.2131164235557496,-0.6085647969591421,16.304974794387817,76.57121920585632,9919,10000
10.0,0.1,0.2115444492212815,-0.6107010707265853,10.878607511520386,78.42814612388611,9920,10000
100.0,0.1,0.211579993402699,-0.6106874505331154,13.1805899143219,69.0816421508789,9920,10000
0.1,0.001,0.1482424812772435,0.3424079067738379,44.28877186775208,69.70426321029663,10519,20000
1.0,0.001,0.124436568305197,0.2981019136991714,29.022268056869507,51.75774741172791,7546,20000
10.0,0.001,0.112033698893015,0.2396825549047623,25.129324913024902,34.4313645362854,5813,20000
100.0,0.001,0.1088273128260332,0.0252201145955623,21.52192234992981,28.551462650299072,4577,20000
0.1,0.01,0.1247097695345367,0.1946244830570572,36.19472002983093,55.335312604904175,8733,20000
1.0,0.01,0.1067873212964561,0.0431312996593236,24.318714141845703,39.62326622009277,6461,20000
10.0,0.01,0.114811260396673,-0.3315829180773881,20.07067322731018,36.572798013687134,5267,20000
100.0,0.01,0.1228449976548362,-0.4268875708582963,21.530967950820923,31.65281820297241,4859,20000
0.1,scale,0.1238521204078892,0.2337467620662348,39.22599720954895,64.95282578468323,8611,20000
1.0,scale,0.1062837599199297,0.0949750431867623,30.44951820373535,47.508678913116455,6315,20000
10.0,scale,0.1140283480832283,-0.2901968962040162,27.362263679504395,38.79737520217896,5014,20000
100.0,scale,0.1251741382792779,-0.4555626518510001,25.26347780227661,31.28759384155273,4538,20000
0.1,0.1,0.2341411265737703,-0.7059981542681493,94.16009783744812,171.68109583854675,19928,20000
1.0,0.1,0.2040755635445335,-0.6189054950441636,108.09050273895264,142.5968816280365,19527,20000
10.0,0.1,0.2019706333596999,-0.6218451862357357,261.9672338962555,182.47229886055,19528,20000
100.0,0.1,0.2020159756990637,-0.6218243387687878,140.23529601097107,160.78482151031494,19528,20000
0.1,0.001,0.1327043141609147,0.2837692900928052,926.5299603939056,261.1121242046356,34043,80000
1.0,0.001,0.1143174971780929,0.2456574999641532,449.4477059841156,175.63241958618164,25394,80000
10.0,0.001,0.1009332510363291,0.1685547731272336,345.5817222595215,126.38805866241456,19658,80000
100.0,0.001,0.10123219828914,-0.0093947644465224,512.2873272895813,89.69052052497864,15103,80000
0.1,0.01,0.1074011636676028,0.1913249626928111,467.7920506000519,169.37186980247498,27659,80000
1.0,0.01,0.0964146452559049,-0.0135379170347916,513.944572687149,126.73364329338074,20041,80000
