epoch,train_loss,train_eer,dev_eer,dev_threshold,lr,seconds
1,0.8040583919897735,0.13789355742296916,0.1497139727750377,1.4331638813018799,0.001,281.2597584724426
2,0.7074151114144296,0.13578711484593836,0.14929494636966023,0.2870190739631653,0.001,277.06725811958313
3,0.6695529536014472,0.13422408963585433,0.15108133298579024,0.797459602355957,0.001,278.90411734580994
4,0.650650106671291,0.1214360410830999,0.14065351644792892,1.2931716442108154,0.001,279.68941855430603
5,0.6354578971244847,0.1088515406162465,0.12785121694626211,1.394001841545105,0.001,278.2122027873993
6,0.6222414561252934,0.10302147525676937,0.12477470818979315,1.4692209959030151,0.001,287.94362902641296
7,0.6159255600958878,0.13328664799253037,0.1536738766816253,1.8736821413040161,0.001,306.26212668418884
8,0.6049232433881053,0.10473389355742299,0.12340369952867287,2.323200225830078,0.001,309.84360909461975
9,0.5972579712703385,0.09993650793650793,0.12303981362060555,1.475290060043335,0.001,309.46218156814575
10,0.5894319807975757,0.0972231559290383,0.11588332180498243,0.6642097234725952,0.001,309.0564429759979
11,0.582664616218954,0.0979253034547152,0.11505506715217387,0.7653031349182129,0.001,306.59981632232666
12,0.5779630938858585,0.09663865546218489,0.11660129546317076,-0.10949280858039856,0.001,308.99811458587646
13,0.5700737271863099,0.09438281979458452,0.11763416423969489,0.8081849217414856,0.001,307.0774574279785
14,0.567542553804449,0.10024463118580768,0.12022670793553002,1.120154857635498,0.001,309.59505796432495
15,0.5629578266914822,0.09410644257703081,0.11529522545730694,1.0213382244110107,0.0005,308.51333928108215
16,0.5400074159407364,0.08799999999999998,0.10773565510183125,1.5298744440078735,0.0005,307.67337918281555
17,0.5354355211044798,0.09175536881419236,0.11351498854875555,1.6131486892700195,0.0005,306.7933783531189
18,0.5301259314148762,0.08381886087768442,0.10973395274241224,1.3886520862579346,0.0005,308.7737545967102
19,0.5323432541546191,0.0948403361344538,0.12071067299616385,2.4208970069885254,0.0005,297.53172302246094
20,0.5251931683443251,0.08231932773109246,0.10464319847983743,0.6489783525466919,0.0005,292.486279964447
21,0.5242036935057194,0.08378711484593838,0.10508797090868605,1.0132193565368652,0.0005,292.2960476875305
22,0.5192181154239954,0.08047992530345471,0.10815832995757643,2.493255615234375,0.0005,290.9648871421814
23,0.5220947069806722,0.08003174603174601,0.10289850575270351,1.3657842874526978,0.0005,281.56349658966064
24,0.5236042050306647,0.08494677871148457,0.11148479517712476,3.007905960083008,0.0005,290.0170569419861
25,0.5110285902031988,0.08527731092436971,0.10940561101576246,1.7694971561431885,0.0005,291.06515645980835
26,0.5167626464592409,0.07715966386554621,0.10854796188911493,1.7941279411315918,0.0005,292.0929698944092
27,0.5102679450898311,0.08452100840336133,0.11119564608226015,2.421344041824341,0.00025,289.605934381485
28,0.5015339650005026,0.0734042950513539,0.09713261891409328,1.676552176475525,0.00025,291.33518385887146
29,0.4972021253234085,0.07471335200746967,0.09967617182019686,1.0002844333648682,0.00025,293.7483141422272
30,0.4977233057191867,0.0753295985060691,0.10320725116346074,1.283623218536377,0.00025,294.4864194393158
